reporter_name,reporter_iso,year,population_total
Afghanistan,AFG,2024,42647492.0
Afghanistan,AFG,2023,41454761.0
Afghanistan,AFG,2022,40578842.0
Afghanistan,AFG,2021,40000412.0
Afghanistan,AFG,2020,39068979.0
Afghanistan,AFG,2019,37856121.0
Afghanistan,AFG,2018,36743039.0
Afghanistan,AFG,2017,35688935.0
Afghanistan,AFG,2016,34700612.0
Afghanistan,AFG,2015,33831764.0
Albania,ALB,2024,2377128.0
Albania,ALB,2023,2411658.0
Albania,ALB,2022,2451636.0
Albania,ALB,2021,2489762.0
Albania,ALB,2020,2528480.0
Albania,ALB,2019,2567801.0
Albania,ALB,2018,2607733.0
Albania,ALB,2017,2648285.0
Albania,ALB,2016,2689469.0
Albania,ALB,2015,2731293.0
Algeria,DZA,2024,46814308.0
Algeria,DZA,2023,46164219.0
Algeria,DZA,2022,45477389.0
Algeria,DZA,2021,44761099.0
Algeria,DZA,2020,44042091.0
Algeria,DZA,2019,43294546.0
Algeria,DZA,2018,42505035.0
Algeria,DZA,2017,41689299.0
Algeria,DZA,2016,40850721.0
Algeria,DZA,2015,40019529.0
American Samoa,ASM,2024,46765.0
American Samoa,ASM,2023,47521.0
American Samoa,ASM,2022,48342.0
American Samoa,ASM,2021,49225.0
American Samoa,ASM,2020,49761.0
American Samoa,ASM,2019,50209.0
American Samoa,ASM,2018,50908.0
American Samoa,ASM,2017,51586.0
American Samoa,ASM,2016,52245.0
American Samoa,ASM,2015,52878.0
Andorra,AND,2024,81938.0
Andorra,AND,2023,80856.0
Andorra,AND,2022,79705.0
Andorra,AND,2021,78364.0
Andorra,AND,2020,77380.0
Andorra,AND,2019,76474.0
Andorra,AND,2018,75162.0
Andorra,AND,2017,73763.0
Andorra,AND,2016,72181.0
Andorra,AND,2015,72174.0
Angola,AGO,2024,37885849.0
Angola,AGO,2023,36749906.0
Angola,AGO,2022,35635029.0
Angola,AGO,2021,34532429.0
Angola,AGO,2020,33451132.0
Angola,AGO,2019,32375632.0
Angola,AGO,2018,31297155.0
Angola,AGO,2017,30234839.0
Angola,AGO,2016,29183070.0
Angola,AGO,2015,28157798.0
Antigua and Barbuda,ATG,2024,93772.0
Antigua and Barbuda,ATG,2023,93316.0
Antigua and Barbuda,ATG,2022,92840.0
Antigua and Barbuda,ATG,2021,92349.0
Antigua and Barbuda,ATG,2020,91846.0
Antigua and Barbuda,ATG,2019,91364.0
Antigua and Barbuda,ATG,2018,90926.0
Antigua and Barbuda,ATG,2017,90468.0
Antigua and Barbuda,ATG,2016,89969.0
Antigua and Barbuda,ATG,2015,89409.0
Argentina,ARG,2024,45696159.0
Argentina,ARG,2023,45538401.0
Argentina,ARG,2022,45407904.0
